job_id,url,first_seen,last_seen,active,Job Title,Location,Salary,Language Requirements,Education Requirements,Programming Languages,Required Software / Tools,Work Arrangement,Job Type,Experience Level,Company Name
1857537,https://www.cvonline.hu/hu/allas/diakmunka-automation-and-reporting-developer-gyakornok-1857537,2026-03-09,2026-03-09,True,Software Developer / Tester,,2800-3000 HUF/hora,"Hungarian, Professional",University + degree + Computer Science,"Python, pytest","Power BI, SQL, Playwright, Selenium","Hybrid (2 days in office - Tuesday, Thursday)",Short-term,Entry-level,
1857222,https://www.cvonline.hu/hu/allas/lehrling-m-w-d-fur-den-lehrberuf-mechatronik-hauptmodul-automatisierungstechnik-1857222,2026-03-09,2026-03-09,True,Lehrling Mechatroniker:in / Hauptmodul Automatisierungstechnik,Mödling,1155 EUR gross,"German, A2",Basic,,,On-site,Short-term,Entry level,Koenig & Bauer (AT) GmbH
1852651,https://www.cvonline.hu/hu/allas/e-sport-streamer-1852651,2026-03-09,2026-03-09,True,E-Sport Player,,,"English, Fluent",,,"PC, Camera, Microphone, Studio equipment",On-site,Full-time,Entry-level,
1718841,https://www.cvonline.hu/hu/allas/teamleiter-crm-entwicklung-ms-dynamics-365-m-w-d-1718841,2026-03-09,2026-03-09,True,CRM System Configuration Specialist,Not specified,,"German - Native/Bilingual, English - Professional",University degree in IT or similar,"JavaScript, C#, .Net, SQL","MS Dynamics CRM, MS Power Automate, Power Apps, Azure DevOps",,Full-time,Intermediate (2+ years),
1718850,https://www.cvonline.hu/hu/allas/mitarbeiterin-it-support-1718850,2026-03-09,2026-03-09,True,IT Service Desk Specialist,"Vorarlberg, Austria","Above KV, dependent on qualification and experience","German - Native/Bilingual, English - Professional","IT education (apprenticeship, technical college, HTL) with relevant work experience",,,Flexible,Full-time,1-3 years,Industry leader with headquarters in the Vorarlberg Rhine Valley
1837466,https://www.cvonline.hu/hu/allas/portuguese-speaking-sales-support-intern-1837466,2026-03-09,2026-03-09,True,Order Management Specialist,Not specified,2500 HUF gross/hour,"English - Advanced, Portuguese - Basic",University + degree + Business/Finance/Economics,,"MS Office (Excel, Word, PowerPoint, Outlook), SAP",Hybrid,Part-time,Entry-level (Active or passive student status with at least two years finished),Sony
1852601,https://www.cvonline.hu/hu/allas/cloud-platform-engineer-aws-1852601,2026-03-09,2026-03-09,True,Cloud Platform Engineer,,,English - Professional,University + degree + Computer Science/IT,Python,"AWS, GitHub, Azure DevOps, Jenkins, Terraform, Docker/Kubernetes, Linux (RHEL), Windows",Hybrid,Full-time,5+ years,
1852602,https://www.cvonline.hu/hu/allas/senior-azure-devops-engineer-1852602,2026-03-09,2026-03-09,True,Senior Azure DevOps Engineer,Hungary,,English - Professional,University + degree + IT/Computer Science,,"Docker, Jenkins, Terraform, Git, Kubernetes, Spinnaker, Grafana, Cloudwatch, Kibana, Bash, Azure",On-site with home office,Full-time,5+ years of DevOps experience,"IT services, consulting and business solutions organization"
1852603,https://www.cvonline.hu/hu/allas/application-developer-salesforce-1852603,2026-03-09,2026-03-09,True,Application Developer (Salesforce),Budapest,,English - Intermediate,University degree in IT/Computer Science (preferred),"Salesforce Apex, Salesforce Lightning, Salesforce Visualforce, JavaScript, Java, Python, .NET","Salesforce CRM, Version control systems, Agile project management tools",Hybrid,Full-time,Mid/Senior level - Proven experience as a Salesforce Developer,Global Business Center
1852604,https://www.cvonline.hu/hu/allas/application-support-engineer-workday-1852604,2026-03-09,2026-03-09,True,Application Support Engineer,Budapest,,English - Intermediate,University degree in IT/Computer Science,"Salesforce, Apex, Lightning, Visualforce, Java, Python, JavaScript, .NET","Salesforce CRM, Workday",Hybrid,Full-time,Mid/Senior level,Global Business Center
1852605,https://www.cvonline.hu/hu/allas/application-support-engineer-salesforce-1852605,2026-03-09,2026-03-09,True,Application Support Engineer,Budapest,,English - Fluent,University + degree + IT/Computer Science,,"Salesforce, Jira, ServiceNow",Hybrid,Full-time,Mid/Senior level,
1852606,https://www.cvonline.hu/hu/allas/bi-analyst-1852606,2026-03-09,2026-03-09,True,Business Intelligence Analyst,Budapest,,English - Intermediate,University + degree + Business/Finance/Economics,,"Power BI, Azure Data Factory",Hybrid,Full-time,2-4 years,
