Tool / Technology,Count
Prisma,1
TypeORM,1
Knex.js,1
React.js,1
HARDWARE R,1
Simatic Step7,1
TailWindCSS,1
Botan,1
Microsoft Copilot,1
ESB,1
MS Dynamics,1
Microsoft O365,1
DrawIO,1
Microsoft Dynamics Navision,1
N8N,1
LLama,1
MLFlow,1
Google Cloud Platform (GCP),1
SQL Developer,1
Toad,1
Svn,1
Vuejs,1
Hive,1
SaaS,1
Firebird,1
QlikSense Script,1
WINDOWS IT SUPPORT,1
Azure SQL Database,1
YouTrack,1
Data Visualization / BI,1
Microsoft BI,1
Python,1
NetBackup,1
SAP Payroll,1
SAP Time Evaluation,1
SAP HR-Forms,1
SuccessFactors Employee Central,1
RFC,1
HANA DB,1
NGS,1
single-cell RNA sequencing,1
single-cell ATAC sequencing,1
WGBS,1
RRBS,1
ChIP-seq,1
CUT&Tag,1
SAP Activate,1
Symphony,1
Desktop PC,1
Business Central (Navision),1
Cohesity,1
SysML/UML,1
WEB SERVICE,1
CREO,1
Adobe Photoshop,1
Ngrx,1
State Management,1
CAM,1
SAP ARIBA,1
EPM,1
DHCP,1
NestJS,1
CD,1
PC BI,1
LAN,1
WAN,1
Google Tag Manager,1
SSH/SFTP,1
Hotjar,1
Clarity,1
Rxjs,1
KubeFlow,1
NETWORK ACCESS,1
SUSHI,1
COUNTER,1
KBART,1
Alma,1
SAP DATABASE,1
cloud technologies,1
SU01,1
SAP GUI,1
TMS,1
Crossplane,1
Apex Data Loader,1
Workbench,1
R SECURITY,1
AZURE DATABASE,1
NIS,1
IT,1
Azure Data,1
SAP BTP Integration Suite,1
IBM App Connect,1
MuleSoft,1
flat file,1
Térinformatikai rendszerek,1
SAP. SERVICE MANAGEMENT,1
Gardener,1
Helm charts,1
VNet,1
Google VPC,1
SAST,1
DAST,1
IAST,1
Adobe InDesign,1
Real Time Operating Systems (RTOS),1
BPMN 2.0,1
Draw.io,1
SQL Databases,1
OpenCL,1
Continuous Integration,1
REST API TESTING,1
MCPs,1
Evaluation frameworks,1
SFDC,1
Productive,1
Google Slides,1
NLP,1
Transformers,1
Shell,1
JIRA CLOUD,1
Hostware,1
Salesline,1
Medworks,1
Frontend,1
LLM frameworks,1
Prompt orchestration,1
Agent frameworks,1
STIGs,1
STIGViewer,1
AI/LLM tooling,1
Container knowledge,1
Angular CLI,1
Nx,1
WebAPI,1
ANALYTICS BI NETWORK,1
Veeva Vault,1
Azure Solutions Architect,1
Veeva CRM,1
Olympic core banking system,1
iSeries,1
eMASS,1
HBSS,1
ACAS,1
AI tooling,1
Anaplan,1
GitlabCI,1
ALB,1
NLB,1
TGW,1
Private CA,1
DocumentDB,1
Nightwatch.js,1
k8s,1
Fusion HCM,1
Recruiting solutions,1
GitHub Action CICD pipelines,1
Kedro framework,1
iREMS software,1
Zapier/Make,1
SIEM systems,1
Endpoint protection,1
Network monitoring systems,1
Data loss prevention software,1
OpenAI’s GPT suite,1
GPT4V,1
GPT4o,1
API TEST AUTOMATION,1
Go,1
Sonatype Nexus,1
pentest,1
Kali,1
SIMATIC S7-1200/1500,1
Mendix,1
CLEARCASE,1
Hybris,1
Opensearch,1
MS Planner,1
Scrum Master,1
Software Development,1
NetBeans,1
iPhone,1
ECLIPSE,1
SCSS,1
process mining systems,1
Microsoft Business Central,1
Microsoft SQL,1
MS Power BI,1
Symfony 7,1
AWS CodePipeline,1
J2EE,1
Elasticache,1
Microsoft Dynamics 365 Business Central APIs,1
Oracle Enterprise Manager Cloud Control,1
J METER,1
Dynamics AX/F&O,1
SAP S/4,1
Docusign,1
MS Office/O365,1
ERP systems,1
Kyriba,1
Accelya,1
Skymetrix,1
Navitaire,1
Dynamics AX,1
Azure App Services,1
Azure Functions,1
Azure API Management,1
Linux performance tools,1
Arm CoreSight or SPE,1
LLVM tools (BOLT,1
Propeller),1
PGO/AutoFDO/LTO,1
Flask,1
Unit Testing,1
Integration Testing,1
XSLT,1
XQuery,1
XPath,1
Spring Cloud,1
CODESYS,1
TwinCAT,1
Simatic S7,1
Meta,1
WSL2,1
CircleCI,1
boost,1
hdf5,1
Siemens,1
Relational Database,1
AWS CloudWatch,1
XSD,1
Digital Signage,1
SAP® PROJECT MANAGEMENT,1
SAP Activate Methodology,1
NIST CSF/800-53,1
ISO/IEC 27000 series,1
ACCESS CHANGE MANAGEMENT,1
GPU,1
BurpSuite,1
Bloomberg,1
LSEG,1
Reuters,1
MarketMap,1
FIS Global,1
Robot Framework,1
Network Access Troubleshooting,1
TTworkbench,1
NVIDIA Isaac Sim,1
PLM systems,1
TR-069,1
TR-369,1
ACS platform,1
Front Arena AEL,1
ACM,1
ADFL,1
Vue.js,1
COGNOS,1
IBM Cognos TM1,1
Spring Scheduler,1
Quartz,1
Windows Desktop PC,1
ARIS,1
no-code/low-code,1
PostCSS,1
E2E testing,1
ESRI ArcGIS,1
Java,1
Spring Data,1
Tailscale,1
SOFTWARE TESTING,1
HARDWARE TESTING,1
Photoshop,1
Illustrator,1
ngRx,1
NUnit,1
MSBuild,1
FitNesse,1
Sass,1
Vertex,1
Business Objects,1
Bugzilla,1
Unit testing frameworks,1
Couchbase,1
Agent Actions,1
Prompt Templates,1
InVision,1
Axure RP,1
IBM Tririga,1
Maximo,1
Behave,1
Docker Compose,1
DYNAMICS BI ENTERPRISE ARCHITECT,1
Network Security,1
Cornerstone On Demand,1
SmartRecruiters,1
ERP ORACLE,1
MS Windows Server,1
Active Directory,1
UNIX (GNU/Linux),1
CRISC,1
BIC Process Design,1
CD/CI,1
Selenide,1
Fastify,1
Pest,1
PHPStan,1
Rector,1
AI-támogatott fejlesztés (Copilot,1
ChatGPT),1
MS Dynamics AX 2012,1
CMMS,1
RxJava,1
Corutine,1
WebSocket,1
WebRTC,1
Unit test,1
Integration test,1
Snapshot test,1
Filament,1
Nextflow,1
IoT,1
Blockchain,1
code review,1
continuous integration,1
Microsoft suite,1
Android API,1
Jetpack Compose,1
Vector stores,1
Graph technologies,1
Hardware,1
SAP Business Application Studio,1
ELK Stack,1
Jupyter Notebooks,1
Snakemake,1
CWL,1
SAP S4 HANA,1
Wildfly,1
Ubuntu,1
RedHat,1
Graylog,1
OpenCart,1
UNAS,1
BASE,1
Jira Xray,1
CCNA,1
Streamlit,1
SAP Solution Manager,1
ERP/CRM systems (Salesforce),1
test management tools,1
GxP,1
GAMP5,1
Oracle Exadata Cloud@Customer,1
RMAN,1
Oracle RAC,1
Data Guard,1
ASM,1
Vue3,1
Analitikai eszközök,1
Easy Redmine,1
microservices,1
spring boot,1
kubernetes,1
Liquibase,1
SAP ASSEMBLY,1
ABAP,1
CLOUD AGILIS,1
Oracle DB 11g - 19c Real Application Cluster,1
CSI,1
IaaC toolok,1
Yaml,1
load-balancer,1
VLAN,1
Simulations,1
JUnit Testing,1
PortSwigger Web Security Academy,1
SuSE Rancher,1
KVM,1
Trivy,1
Aqua scanner,1
containerd,1
etcd,1
ingress,1
pv/pvc,1
Microsoft PowerPoint,1
Microsoft Visio,1
Slicer3D,1
MONAI,1
Risk Models,1
PaaS,1
Data Bricks,1
FIREWALL,1
Windows Server 2019,1
SOLID,1
Android SDK,1
Jetpack,1
Data build tool,1
Keyence,1
Cognex,1
Halcon,1
Microsoft Defender Cloud,1
Microsoft Defender Office 365,1
Logic Apps,1
AI Foundry,1
Microsoft Copilot for Security,1
KQL,1
Firewall,1
WAF,1
StackDriver,1
ROBOT C,1
foundation models,1
ML models,1
Microsoft Sentinel,1
Microsoft XDR,1
Microsoft Defender for Endpoint,1
Microsoft Defender Identity,1
Aconso,1
Nixpkgs,1
Linux Kernel,1
systemd,1
OpenACC,1
SYCL,1
KOKKOS,1
Observability,1
JIT,1
Runtime,1
Office Software,1
PC SECURITY,1
ISO 31000,1
Rest-Assured,1
SAP ECC Human Capital Management,1
SAP SuccessFactors Employee Central,1
DataGalaxy,1
DataBricks,1
Purview,1
JMP,1
RedJade,1
Fizz,1
Entra,1
Monitor (2 db),1
SOTIF,1
Deep Learning,1
Privileged Access Management (PAM),1
CRM DYNAMICS,1
Rushstack,1
Signavio,1
SAP ePP/DS,1
SAP IBP,1
CobiT,1
MS365,1
SIAM,1
POWERSHELL,1
GDB,1
ADOBE ACCESS,1
ISO 26262,1
ISO 8800,1
IOS API,1
GWT,1
SOLR,1
Ignite,1
Vue,1
LLM,1
Conceptboard,1
Concourse,1
Graph APIs,1
Service Management,1
Dataform,1
Dagster,1
Vertex AI,1
Snowplow,1
NETWORK DATABASES,1
Cloud platforms (GCP),1
Extension API Servers,1
Cloud ALM,1
Siemens Teamcenter,1
IEC 62443,1
ISMS,1
Balsamiq,1
ELT,1
Graph databases,1
PMI-JIRA,1
SAP ENTERPRISE ARCHITECT,1
SAP Fiori launchpad,1
@SAP. AGILE,1
External Secrets Operator,1
KRO,1
CRDs,1
Operator pattern,1
Docker/Kubernetes/OpenShift/Quarkus/Hibernate,1
Yii,1
CLOUD AZURE,1
PL/SQL,1
Oracle Data Integrator (ODI),1
Azure Data Platform,1
X-Ray,1
SAP TESTING,1
Base Command Manager,1
Run:ai,1
NVIDIA NIMs,1
NETWORK ANALYTICS,1
SAP LE,1
SAP TM,1
service mesh,1
SAP SAC,1
TMF620 Telecom Customer & Party,1
Telecom BSS,1
SAFe Agile,1
TMF Open APIs,1
ODA,1
PC LAN,1
E+P,1
StoryBook,1
SR-IOV,1
Xilinx/AMD FPGA,1
Intel FPGA,1
MLIR,1
e-learning platforms,1
LMS solutions,1
APEX,1
CENTOS,1
SAP FS-RI,1
FS-CD,1
Guidewire,1
REST Assured,1
Jira Zephyr,1
PCIe,1
DMA,1
VFIO,1
Jedox,1
Android Open Source Platform,1
Material Design,1
Model-View-ViewModel,1
Kotlin Flows,1
Coroutines,1
Test/Behaviour Driven Development,1
Java Testing,1
AS2,1
AUTOSAR,1
LAMP,1
Linux OS,1
Siemens Step7,1
GOOGLE ANALYTICS,1
ADATBÁZIS KEZELÉS,1
SAP Concur,1
Kepware,1
ThingWorx,1
Nix / NixOS,1
OPA / Gatekeeper,1
Office software,1
vulnerability scanners,1
endpoint security,1
OFTP2,1
SAP PS,1
C++,1
Metabase,1
SNS,1
OSA,1
SBOM,1
PDM,1
Docker containers,1
Oscilloscope,1
Power Analyzer,1
SAP BACKEND,1
Data Dictionary,1
Knowledge Graph technologies,1
RDF,1
SPARQL,1
VTK,1
Content Builder,1
Salesforce Service Cloud,1
SAP-BW,1
SAP Material Master Data,1
Business Partner,1
LEAN PROJECT MANAGEMENT,1
SAP CLOUD API MIDDLEWARE,1
DMM,1
OpenCV,1
PCL,1
VueJS,1
RS-485,1
CAD Software,1
SQL DATABASE,1
SOAP APIS,1
Interaction Studio,1
Azure AD / Entra ID,1
MFA,1
SSO,1
RBAC,1
PAM,1
federation,1
identity governance,1
CPQ platform,1
IBM MaaS360,1
Ivanti,1
Apple Business Manager,1
Automated Device Enrollment,1
Android Enterprise,1
PKI,1
SAP CX,1
SAP Success Factors,1
MS Power Pages,1
MS Copilot Studio,1
SAP 4/Hana,1
UNIX OPERÁCIÓS RENDSZEREK,1
IT SUPPORT,1
PySide,1
ELK/EFK stack,1
JAMF Pro,1
Bazel,1
MDF4,1
MCAP,1
Qualcomm,1
NVIDIA,1
Basecamp,1
MS Power Automate,1
MS Power Apps,1
Celonis,1
SonarLint,1
Azure DevOps Pipelines,1
Argo CD/Flux,1
GitHub Packages,1
Grafana Loki,1
R ANALYTICS,1
SECURITY PROJECT MANAGEMENT,1
SAP ERP/R3,1
Ansys Fluent,1
Data Mesh,1
Data Fabric,1
Data Lake,1
OpenSource,1
Totara LMS,1
Kaltura,1
BDC,1
HANA,1
CDS,1
TEI XML,1
eXist-db,1
TEI Publisher,1
IIIF,1
SAP R3,1
SECURITY ISO,1
SDL Studio,1
SAFe Agile framework,1
AKS,1
GKE,1
Access Network,1
Six Sigma Black Belt,1
RISE,1
IFS9,1
Migration cockpit,1
VSCode IDE,1
Hyper-V,1
VDI,1
SCAPE,1
Lab View,1
AZURE DYNAMICS BI,1
JSP,1
Integration Suite,1
Workflow Management,1
Qt6,1
Maestro,1
ACCESS NETWORK,1
Spring / Spring Boot,1
Freshservice,1
pytest,1
Aurora PG,1
MSK,1
Adobe tools,1
PagerDuty,1
Opsgenie,1
HP CONFLUENCE,1
IBM MQ,1
BOOTSTRAP,1
PHPUNIT,1
ROBOT FRAMEWORK,1
SAP FI-CO,1
IM,1
PP,1
PS,1
Automated Tests,1
Area9,1
Bynder,1
Sitecore,1
Salesforce E&A,1
SE80/SE11,1
ALV,1
SmartForms/Adobe,1
Web IDE/BAS,1
FFmpeg,1
Apache Iceberg,1
API Gateways,1
DMS,1
Unreal Engine,1
Unreal 5,1
DirectX,1
ROCm,1
ISO 14443,1
Mifare DESFire,1
HCE,1
GIT ENTERPRISE ARCHITECT,1
Jetbrains Rider,1
Doors,1
Sonar Qube,1
AvaloniaUI,1
Microsoft Defender,1
Conditional Access,1
SECURITY ACCESS SERVICE MANAGEMENT,1
Renovate,1
Uptrends,1
ACCESS SECURITY,1
RFID,1
NFC,1
JBOSS,1
Phase-based Maintenance Resource Scheduling (RSH),1
IAM,1
APM,1
BNAC,1
ISO 2700x,1
make,1
IOS TESTING,1
LabSolutions,1
Turbine,1
CANopen,1
RDBMS,1
Google AI Studio,1
Project,1
Profinet,1
ODYC,1
SWD,1
logic analyser,1
embedded CI/CD,1
CST Studio Suite,1
HARDWARE SECURITY,1
Codebeamer,1
Empower,1
OpenLab,1
Tabular Editor,1
ARM,1
SAP BP,1
SAP RE-FX,1
SAP UI5,1
AES,1
HMAC,1
JTAG,1
CloudALM,1
Compose-testing,1
Joule extensibility,1
LiteLLM,1
AI coding assistant tools,1
LangChain/LangGraph,1
vLLM,1
RAG/MCP,1
