Tool / Technology,Profesia,Profession,CVOnline,Total
Azure Machine Learning,3,0,0,3
Microsoft,1,0,2,3
Azure NetApp Files,3,0,0,3
Azure Portal,3,0,0,3
Azure SQL Database,3,0,0,3
Azure SQL Managed Instances,3,0,0,3
Azure Synapse,3,0,0,3
Azure Synapse Analytics,1,2,0,3
Linux systems,1,2,0,3
EPLAN,3,0,0,3
Azure ekosystém,3,0,0,3
Jira Service Management,3,0,0,3
Jira/Confluence/Mural,3,0,0,3
BI AGILIS,0,3,0,3
BI ANALYTICS,0,3,0,3
ESET PROTECT: None,3,0,0,3
Hoppscotch,3,0,0,3
BIM,3,0,0,3
MS Office (advanced),3,0,0,3
BPMN 2.0,0,1,2,3
Hugging Face,2,1,0,3
BPMS,3,0,0,3
Matillion,3,0,0,3
BW6,3,0,0,3
BWCE,3,0,0,3
Hyper-V failover clustering,3,0,0,3
I2C,3,0,0,3
Jupyter,1,2,0,3
IBM,2,0,1,3
BeyondTrust,3,0,0,3
BigPicture,3,0,0,3
Elementor,3,0,0,3
Mac OS,3,0,0,3
IBM Lotus Domino / HCL Domino: Advantage,3,0,0,3
BrowserStack,1,2,0,3
Enterprise Manager Cloud Control,0,0,3,3
Bruno,2,0,1,3
K8s,2,1,0,3
IBM QRadar,3,0,0,3
Burp Suite Pro,0,3,0,3
Business Technology Platform (BTP),3,0,0,3
Load Runner,3,0,0,3
C#,2,1,0,3
CAMEO,0,3,0,3
Exadata,3,0,0,3
CATS (test automation platform),3,0,0,3
CDS Views,1,2,0,3
IDS/IPS,2,1,0,3
IDoc,1,2,0,3
CI/CD (GitOps),3,0,0,3
FIREWALL,0,3,0,3
FOM/FOS),3,0,0,3
CI/CD tools such as Azure DevOps,3,0,0,3
CLOUD ANALYTICS,0,3,0,3
Kerberos,3,0,0,3
Looker,3,0,0,3
CLOUD HARDWARE,0,3,0,3
MS Office suite,0,1,2,3
Figme,3,0,0,3
Fiori apps,0,3,0,3
Klient/server administrácia,3,0,0,3
COBOL RPG,3,0,0,3
Make,2,1,0,3
Microsoft 365 (SharePoint,3,0,0,3
Manage Engine,3,0,0,3
MATLAB/Simulink,0,3,0,3
Flutter,3,0,0,3
Flux,1,2,0,3
CakePHP,3,0,0,3
Camunda architektúra,3,0,0,3
Forcepoint,3,0,0,3
Celonis,2,1,0,3
FortiManager,3,0,0,3
Microsoft Defender,2,1,0,3
K8s/Rancher API service-mesh,3,0,0,3
Microsoft Exchange Server: Advantage,3,0,0,3
Microsoft NAV,3,0,0,3
Microsoft Office (Excel),1,2,0,3
Microsoft Office products and applications,3,0,0,3
Microsoft SharePoint Server: Advantage,3,0,0,3
Microsoft Windows Server,3,0,0,3
MikroTik,3,0,0,3
Mikrotik,3,0,0,3
Monitor,0,3,0,3
MsSQL Server,3,0,0,3
Multithreading,3,0,0,3
NATS,1,1,1,3
NETWORK SECURITY,0,3,0,3
NI - TestStand,3,0,0,3
NIST,1,2,0,3
NUnit,2,1,0,3
NVIDIA Omniverse,1,2,0,3
Netcracker Rating and Billing Manager,3,0,0,3
NextJS,3,0,0,3
NixOS,0,3,0,3
Nmap,3,0,0,3
OAuth2,3,0,0,3
OData services,3,0,0,3
ORM,3,0,0,3
Office365,3,0,0,3
OpenApi/Swagger,1,2,0,3
OpenSearch/Kibana,3,0,0,3
OpenUSD,1,2,0,3
Openstack,3,0,0,3
Oracle/Postgres,3,0,0,3
PAM,3,0,0,3
PC,0,3,0,3
PL/SQL,3,0,0,3
PP/DS,3,0,0,3
PWA,3,0,0,3
Pacemaker/Corosync,3,0,0,3
Panorama,3,0,0,3
Pega,3,0,0,3
Polarion,1,0,2,3
PostgreSQL (Citus),3,0,0,3
Power Apps),3,0,0,3
PowerQuery,2,0,1,3
Prefect,3,0,0,3
Prettier,3,0,0,3
Property Graph Databases,3,0,0,3
Proxmox VE,3,0,0,3
Pub/Sub,3,0,0,3
Pulumi,2,1,0,3
Putty,3,0,0,3
Qualys,3,0,0,3
REST/SOAP,3,0,0,3
RHEL 10,3,0,0,3
RPA tools,3,0,0,3
RTOS,3,0,0,3
RabbitMQ/AMQP,3,0,0,3
Rancher,2,1,0,3
React + Next.js,3,0,0,3
React Native Web,3,0,0,3
React Query,3,0,0,3
Redshift,2,1,0,3
Redux Toolkit,1,1,1,3
RestAssured,2,1,0,3
Ruby on Rails,3,0,0,3
SAFe,1,2,0,3
SAP 4/HANA,0,0,3,3
SAP Build,0,3,0,3
SAP Business AI,0,3,0,3
SAP Business Technology Platform,0,3,0,3
SAP Business Technology Platform (BTP),0,3,0,3
SAP BusinessAI,0,3,0,3
SAP EWM,0,0,3,3
SAP FI,2,1,0,3
SAP Integration Suite,0,3,0,3
SAP Materials Management (MM),3,0,0,3
SAP NetWeaver,0,3,0,3
SAP PP and PP/DS,3,0,0,3
SAP SECURITY,0,3,0,3
SAP SLT,3,0,0,3
SAP Sales and Distribution (SD),3,0,0,3
SIMATIC STEP 7,3,0,0,3
SIP/SDP,3,0,0,3
SNMP,3,0,0,3
SOAPUI,1,2,0,3
SOFTWARE TESTING,0,3,0,3
SPI,3,0,0,3
SQL Developer,3,0,0,3
SQL REXX,3,0,0,3
SSIS,3,0,0,3
Salesforce CRM,0,0,3,3
Salesforce Marketing Cloud,2,1,0,3
Salesforce Sales Cloud,0,1,2,3
Salt-stack,3,0,0,3
Security,2,1,0,3
Server,3,0,0,3
ServiceNow (SNOW),3,0,0,3
Shopify,2,1,0,3
Sitecore,3,0,0,3
Snaplogic,3,0,0,3
Software/Tool: Confluence,1,2,0,3
SolidWorks,2,0,1,3
Solr,0,0,3,3
Sonatype Lifecycle,3,0,0,3
SparkML,3,0,0,3
Spinnaker,0,2,1,3
Spring Security,1,2,0,3
Storm,0,0,3,3
Streamlit,3,0,0,3
Studio 5000,3,0,0,3
Suse,3,0,0,3
TCP/IP LAN,3,0,0,3
TIBCO products (BW5,3,0,0,3
TOGAF,1,2,0,3
TRELLO,0,3,0,3
Talend,2,1,0,3
Tealium IQ / EventStream,3,0,0,3
TeamViewer,3,0,0,3
Teams),3,0,0,3
Tensorflow,3,0,0,3
TestNG,1,2,0,3
Testing,1,2,0,3
Trellix,3,0,0,3
TwinCAT,3,0,0,3
UART,3,0,0,3
Ubuntu),1,0,2,3
UiPath Insights,3,0,0,3
UiPath Orchestrator,3,0,0,3
UiPath Studio,3,0,0,3
Unit Testing,3,0,0,3
Unity,2,1,0,3
Unix,0,3,0,3
Vertex AI,2,1,0,3
Virtualization,1,2,0,3
Visual Studio Code,1,2,0,3
Vue,2,1,0,3
WAFs,3,0,0,3
WORDPRESS,0,3,0,3
WSO2,3,0,0,3
WebSockets,3,0,0,3
WebdriverIO,2,1,0,3
Webflow,0,3,0,3
WildFly,3,0,0,3
WinCC,3,0,0,3
Windows 7,3,0,0,3
Windows servers,3,0,0,3
Wiremock,3,0,0,3
XCode,3,0,0,3
XD,2,1,0,3
Yarn,3,0,0,3
Zendesk,1,2,0,3
ansible,3,0,0,3
apache,3,0,0,3
bash/shell,3,0,0,3
bitbucket,3,0,0,3
certificates,3,0,0,3
cloud technologies (AWS,3,0,0,3
data models,2,0,1,3
docker),2,1,0,3
draw.io,3,0,0,3
eBPF,0,3,0,3
encryption,3,0,0,3
etc.),2,1,0,3
etcd,3,0,0,3
flux,3,0,0,3
jBPM,3,0,0,3
veeam,2,0,0,2
CheckMK,2,0,0,2
(My)SQL,2,0,0,2
CheckPoint,2,0,0,2
Checkmk,1,0,1,2
MS Report server,2,0,0,2
Cilium,0,2,0,2
11,2,0,0,2
Cisco ASA,2,0,0,2
3),2,0,0,2
3ds Max,0,0,2,2
8,2,0,0,2
9,2,0,0,2
MDT,2,0,0,2
@SAP. AGILE PROJECT MANAGEMENT PMI CSS,0,2,0,2
CI/CD pipeline tools (Jenkins,2,0,0,2
OpenTelemetry + Grafana Stack (LGTM),0,2,0,2
Camunda framework,2,0,0,2
OpenVPN),2,0,0,2
CI/CD pipeline (TeamCity,2,0,0,2
Microsoft SCCM,2,0,0,2
Operation,2,0,0,2
FI and CO,0,2,0,2
CI/CD eszközök (GitLab CI,0,2,0,2
Oracle Cloud Infrastructure,2,0,0,2
MS Office framework,0,2,0,2
Oracle Data Integrator,2,0,0,2
Oracle Data Modeler,2,0,0,2
Kafka/EventHub,2,0,0,2
IEC 61131-3,0,0,2,2
IDocs,2,0,0,2
Oracle Retail,0,2,0,2
Oracle SQL,0,1,1,2
Oracle Simphony,0,0,2,2
Experience with antivirus products: None,2,0,0,2
Microsoft SQL,1,1,0,2
Exchange Online),2,0,0,2
CDS views,2,0,0,2
Logging,2,0,0,2
Force.com platforme,2,0,0,2
CD solutions (Argo or similars),0,2,0,2
Camel,2,0,0,2
PC hardware and software,2,0,0,2
PCI DSS,2,0,0,2
PCL,1,1,0,2
EventBridge,2,0,0,2
PHP-FPM,2,0,0,2
CAN,2,0,0,2
CAM,2,0,0,2
Microsoft Excel: Advanced,2,0,0,2
PLC,0,2,0,2
IBP,0,0,2,2
Mac OS X: None,2,0,0,2
EtherCAT,0,2,0,2
KMS,2,0,0,2
Matplotlib,2,0,0,2
Ignite,1,1,0,2
Entra ID / Active Directory,2,0,0,2
PROJECT MANAGEMENT. LEAN,0,2,0,2
C ASP.NET,0,2,0,2
Calico,0,2,0,2
Entra ID,2,0,0,2
Microsoft Visio / Draw.io,2,0,0,2
Entra AD,2,0,0,2
Entra ...),2,0,0,2
Palantir Foundry platform,2,0,0,2
BuildBreaker,2,0,0,2
Enterprise Studio,2,0,0,2
Palstat,2,0,0,2
Bug tracking rendszerek,0,2,0,2
Flyway,2,0,0,2
Patroni,2,0,0,2
CSV,2,0,0,2
Perl,1,1,0,2
Browser DevTools,2,0,0,2
Photoshop & Illustrator,2,0,0,2
PhpStorm,2,0,0,2
Pingdom,2,0,0,2
Pivot,2,0,0,2
Platform Events,0,2,0,2
Livewire,1,1,0,2
Enonic,2,0,0,2
Microsoft Entra ID Privileged Access Management (PAM) solutions,0,2,0,2
Policy-as-code,0,2,0,2
Port,2,0,0,2
PostMan,2,0,0,2
Brevo,2,0,0,2
Postgre,2,0,0,2
Embeddings,2,0,0,2
Identity Wallets,0,2,0,2
PostgreSQL / Oracle DB,2,0,0,2
PostgreSQL/MySQL,2,0,0,2
Postgres SQL,2,0,0,2
IBM DB2 for i QShell,2,0,0,2
Bloomreach Engagement,2,0,0,2
Blender,0,0,2,2
Microsoft.NET,2,0,0,2
Mac,1,1,0,2
IBM Cognos Analytics,2,0,0,2
Bitbucket Pipelines,2,0,0,2
Power Pages),0,0,2,2
IBM Cloud Pak for Integration,2,0,0,2
Power Platform (Power Automate,2,0,0,2
Power Platform Admin Center,0,0,2,2
Elastic stack,1,1,0,2
Power Point),2,0,0,2
Jupyter notebooks,2,0,0,2
Elastic Kibana,2,0,0,2
PowerCLI,1,0,1,2
Matlab,2,0,0,2
Hyperledger Aries,0,2,0,2
HyperV,2,0,0,2
Microsoft.net,2,0,0,2
Beats,1,1,0,2
Powermock,2,0,0,2
Batch scripting,2,0,0,2
Microsoft: Windows desktop,2,0,0,2
Middleware,0,2,0,2
PrimeNG,2,0,0,2
Product Information Management system,0,0,2,2
Profinet,1,1,0,2
Profylax,2,0,0,2
Project Management,0,2,0,2
Bash shell scripting,0,0,2,2
Bash scripting,2,0,0,2
Middleware & integration solutions (like Lobster,0,2,0,2
EcoSun,2,0,0,2
Microsoft Copilot,1,1,0,2
Proxyman,2,0,0,2
Microsoft Azure/Databricks,2,0,0,2
MATLAB,0,2,0,2
Balsamiq,0,1,1,2
CSS modules,2,0,0,2
Easreserve,0,0,2,2
Hyper V,2,0,0,2
EWM (Extended Warehouse Management),0,0,2,2
BTP Services,0,2,0,2
Pytorch,2,0,0,2
QML,2,0,0,2
BSM,2,0,0,2
Human Interface Guidelines,0,2,0,2
Human,2,0,0,2
MS Power Platform,0,2,0,2
ETL tools,1,1,0,2
Hudson,2,0,0,2
R DATABASE,0,2,0,2
RACOM,2,0,0,2
RAID,2,0,0,2
RDBMS (PostgreSQL,2,0,0,2
RDBMS: Basic,2,0,0,2
BOOTSTRAP,0,2,0,2
Dockers,0,2,0,2
BI rendszerek,0,2,0,2
Linux/Unix,1,1,0,2
Hotjar,2,0,0,2
REST API (Open API 2,2,0,0,2
BI DATABASES,0,2,0,2
REST APIs: None,2,0,0,2
REST Assured,2,0,0,2
ESET PROTECT,2,0,0,2
CSI implementations (Longhorn,2,0,0,2
BI ACCESS,0,2,0,2
Linux-based real-time operating systems,0,2,0,2
RESTful APIs,0,2,0,2
CSI,2,0,0,2
RHEL 7,2,0,0,2
RHEL Satellite,2,0,0,2
BGP,2,0,0,2
RMM,2,0,0,2
ROBOT,0,2,0,2
ROS (Robot Operating System),2,0,0,2
ROS2,1,1,0,2
ESET,2,0,0,2
Monday,0,2,0,2
Flows,1,1,0,2
ESB,1,1,0,2
Hibernate ORM/JPA,2,0,0,2
Mongo-DB,2,0,0,2
Mesh solutions (Istio or similars),0,2,0,2
Flowmon Networks,2,0,0,2
Jira Service desk,2,0,0,2
RavenDB,0,0,2,2
Helm),2,0,0,2
Microsoft Installer (MSI),2,0,0,2
B&R Automation Studio,2,0,0,2
React Native,2,0,0,2
CRM tools,1,1,0,2
Flink,2,0,0,2
ERP system,1,0,1,2
Azure-native and custom components,0,2,0,2
Real Time Operating Systems (RTOS),0,2,0,2
ERP SECURITY CLOUD,0,2,0,2
Jira (Hive),0,2,0,2
RedHat,2,0,0,2
RedHat OpenShift,2,0,0,2
ERP ECC,2,0,0,2
Jira (Atlassian),2,0,0,2
Microsoft Azure environments,2,0,0,2
Azure monitors,2,0,0,2
Redux Material UI (MUI),2,0,0,2
MuJoCo,0,2,0,2
Repository pattern,2,0,0,2
Rest Web Services,2,0,0,2
FlaUI framework,2,0,0,2
Retrieval-Augmented Generation (RAG) pipelines,2,0,0,2
Azure functions,2,0,0,2
Rspamd,2,0,0,2
MuleSoft Anypoint Platform (Mule ESB),2,0,0,2
Jinja,2,0,0,2
Jetpack Compose,2,0,0,2
Azure Web services,2,0,0,2
S/4HANA public cloud,2,0,0,2
Hadoop/Hbase,2,0,0,2
S4/Hana,0,2,0,2
Microsoft Endpoint manager,2,0,0,2
Azure Storage,2,0,0,2
Mural,2,0,0,2
Azure Services,2,0,0,2
Material UI,2,0,0,2
SAP ABAP PROJECT MANAGEMENT TESTING ACCESS DEBUGGING,0,2,0,2
Hadoop ecosystem,0,0,2,2
SAP ACCESS DATABASES,0,2,0,2
SAP AI Business Services,0,2,0,2
SAP AI Core,0,2,0,2
Azure Repos,2,0,0,2
Azure Pipelines,2,0,0,2
Linux services,2,0,0,2
SAP APO,0,0,2,2
SAP ASSEMBLY,0,2,0,2
Linux servers (preferably RHEL),2,0,0,2
SAP Analytics Cloud (SAC),1,1,0,2
SAP Ariba,2,0,0,2
Linux server,2,0,0,2
Azure Integration Services,2,0,0,2
ELK Stack (Elasticsearch,2,0,0,2
SAP BW),0,2,0,2
SAP Basis,2,0,0,2
MyQ,2,0,0,2
Ktor,2,0,0,2
MSSQL database,2,0,0,2
SAP Business One,1,0,1,2
CRM (Customer Relationship Management),2,0,0,2
MySQL/MariaDB,0,2,0,2
Microsoft Azure DevOps or Service Now,2,0,0,2
Azure DevOps CI/CD pipelines,2,0,0,2
SAP CLOUD @SAP,0,2,0,2
SAP CLOUD ERP NETWORK SAP,0,2,0,2
EJB 3.0,2,0,0,2
EJB,1,1,0,2
Linux environments,2,0,0,2
SAP Certified Professional-Enterprise Architect [P_SAPEA_2023],0,2,0,2
SAP Cloud ALM,0,2,0,2
SAP Cloud Integration Suite,0,2,0,2
SAP Cloud Platform,0,2,0,2
SAP Commerce Cloud,0,0,2,2
SAP Data & Analytics portfolio (SAP Datasphere,0,2,0,2
SAP Data Services,2,0,0,2
HTML @SAP. MACHINE LEARNING,0,2,0,2
EDR / XDR (Microsoft Defender),2,0,0,2
EDR,1,1,0,2
SAP ERP/R3,0,2,0,2
Kotlin,2,0,0,2
SAP Enterprise Architecture Framework featured by LeanIX EAM,0,2,0,2
SAP Extended Warehouse Managment,2,0,0,2
SAP Extension Suite,0,2,0,2
MS PBI,2,0,0,2
Azure Data Lake (Delta Lake),2,0,0,2
Material Design,0,2,0,2
HTML + CSS,2,0,0,2
SAP Fiori Launchpad,0,2,0,2
Azure Cloud Services,1,0,1,2
Azure Automation,2,0,0,2
ECS/EKS,2,0,0,2
Jenkins...),2,0,0,2
ECC,1,1,0,2
Azure AKS,2,0,0,2
Azure AI Search,2,0,0,2
NETWORK ACCESS,0,2,0,2
SAP Joule,0,2,0,2
Azure AI Foundry,2,0,0,2
SAP LeanIX,0,2,0,2
SAP MDG-M,2,0,0,2
Linux Red Hat OpenShift (Docker,2,0,0,2
NETWORK HARDWARE,0,2,0,2
SAP MesCat,2,0,0,2
SAP Migration Cockpit,2,0,0,2
SAP NETWORK,0,2,0,2
NETWORK R,0,2,0,2
SAP PM,2,0,0,2
SAP PO/PI,2,0,0,2
Linux RHEL / RHCOS,2,0,0,2
Microsoft Azure DevOps,2,0,0,2
SAP PS,2,0,0,2
Linux Operating System,2,0,0,2
SAP Quality Managment,2,0,0,2
Drupal,2,0,0,2
Jenkins (pipelines/CICD),2,0,0,2
Automic,2,0,0,2
MSAL,0,1,1,2
SAP S/4HANA (SAP IBP),2,0,0,2
SAP S/4HANA Private Cloud,2,0,0,2
Dovecot,2,0,0,2
SAP S/4HANA and ECC,2,0,0,2
Microsoft 365 (Sharepoint,2,0,0,2
Linux (Ubuntu,2,0,0,2
Firewalls,1,0,1,2
SAP SECURITY CLOUD,0,2,0,2
Microsoft Excel - Advanced,2,0,0,2
SAP SQL,0,2,0,2
NI LabVIEW,2,0,0,2
SAP Sales and Service Cloud solutions,0,2,0,2
MS Exchange,2,0,0,2
AutoCad,2,0,0,2
MS365,2,0,0,2
SAP Support Portal,2,0,0,2
SAP Systemen,1,0,1,2
Aurora DB,0,1,1,2
Linux (RHEL,0,0,2,2
HARDWARE SECURITY,0,2,0,2
SAP Warehouse Management (WM),2,0,0,2
SAP Warehouse Managment,2,0,0,2
SAP tables,2,0,0,2
SAPUI5,1,1,0,2
HARDWARE R,0,2,0,2
Docker Compose,2,0,0,2
SCADA,1,1,0,2
SCADE,0,2,0,2
Atlassian products,2,0,0,2
Lint,2,0,0,2
SCRUM methodology,2,0,0,2
Jasper,0,2,0,2
SD,0,1,1,2
MS Dynamics 365 CRM,0,0,2,2
SECURITY @SAP,0,2,0,2
SECURITY ACCESS,0,2,0,2
SECURITY ACCESS MACHINE LEARNING AGILE,0,2,0,2
SECURITY DEVOPS CLOUD AWS REST,0,2,0,2
MS Dynamics 365,2,0,0,2
Group Policies,0,0,2,2
SEO tools,0,2,0,2
DevOps tools (e.g.,0,0,2,2
DevOps principles,2,0,0,2
DevOps practices,2,0,0,2
DevOps and modern engineering workflows,2,0,0,2
JWT,2,0,0,2
NI TestStand,2,0,0,2
InTune,2,0,0,2
SLOs,0,2,0,2
SMB/NFS NAS,2,0,0,2
NLB,2,0,0,2
SNP CrystalBridge,2,0,0,2
ArchiCAD,2,0,0,2
Lifecycle Services,0,0,2,2
SOAP API,2,0,0,2
Level: Pokročilý,2,0,0,2
SOAP based microservices,2,0,0,2
SOAP/REST Webservices,2,0,0,2
NLTK,2,0,0,2
SOAR,2,0,0,2
Lucom Interaction Platform,2,0,0,2
AquaSec,2,0,0,2
NODEJS,0,2,0,2
Apple iOS,2,0,0,2
AppStore,2,0,0,2
AppDynamics,2,0,0,2
SQL (MSSQL or PostgreSQL),2,0,0,2
Firebase,1,1,0,2
ISV solutions,0,2,0,2
Level: Advanced,2,0,0,2
SQL Server Management Studio,2,0,0,2
Level of Expertise: Stredne pokročilý,2,0,0,2
SQL databases (MySQL,2,0,0,2
SQL/NoSQL,1,1,0,2
Datenbanken,0,0,2,2
SQL/PLSQL,1,1,0,2
SQLAlchemy,2,0,0,2
Apache Zeppelin,2,0,0,2
Dataverse,1,1,0,2
SQS/SNS,2,0,0,2
SSAS,1,1,0,2
Dataproc,2,0,0,2
Lucidchart,2,0,0,2
SSL VPN,2,0,0,2
SVA assertions,0,2,0,2
Dataform,1,1,0,2
Apache HBase,0,0,2,2
SageMaker,1,1,0,2
Apache Camel,1,1,0,2
SailPoint Identity Security Cloud,0,2,0,2
SalesForce,2,0,0,2
Antivírus,2,0,0,2
Metabase,2,0,0,2
Salesforce Commerce Cloud,0,2,0,2
Salesforce Lightning Cloud,2,0,0,2
NPS,2,0,0,2
MS Report Builder,2,0,0,2
JSM,2,0,0,2
Microsoft Office - Pokročilý,2,0,0,2
DataCenter Hardware,2,0,0,2
Salto ProAccess Space,0,0,2,2
Ant Design,2,0,0,2
Samba,2,0,0,2
Sanity,2,0,0,2
Satellite,0,0,2,2
Lenovo,2,0,0,2
Scikit-learn,2,0,0,2
Screaming Frog,0,2,0,2
Google Play,2,0,0,2
Scylla,2,0,0,2
Secrets Automation,0,2,0,2
NVMe over TCP),2,0,0,2
Mendix,2,0,0,2
Seeburger,1,0,1,2
Data Streaming,2,0,0,2
Selenium WebDriver,0,0,2,2
Data Management,0,2,0,2
AngularJS,2,0,0,2
NVR Hikhvision,2,0,0,2
Server-Sent Events (SSE),2,0,0,2
Service Bus,2,0,0,2
Angular/React,2,0,0,2
Service-Now,2,0,0,2
ServiceDesk,2,0,0,2
ServiceDesk/Jira,2,0,0,2
ServiceMix,2,0,0,2
Angular Material,1,1,0,2
MS Windows 10/11,2,0,0,2
NX,2,0,0,2
ServiceNow CSM,2,0,0,2
Android: None,2,0,0,2
Google GSuite,2,0,0,2
Amplitude,1,1,0,2
SharePoint),1,1,0,2
Google Docs,2,0,0,2
Sharepoint Online,2,0,0,2
Sharepoint),2,0,0,2
Shodan,2,0,0,2
CLOUD TESTING,0,2,0,2
Shoptet,2,0,0,2
Amazon RDS,2,0,0,2
Dagger2,2,0,0,2
Google BigQuery,0,1,1,2
Signavio,1,1,0,2
Sistrix,0,2,0,2
Navision,0,2,0,2
Alertmanager,2,0,0,2
DYNAMICS CRM CLOUD,0,2,0,2
Slurm,1,1,0,2
Google Analytics 4,2,0,0,2
Final Form,0,1,1,2
Airflow/Prefect,2,0,0,2
JFrog Xray,2,0,0,2
Software/Tool: Azure,0,2,0,2
Neo4j graph database,0,1,1,2
Software/Tool: Databricks Medallion architecture,0,2,0,2
Software/Tool: JIRA,0,2,0,2
Software/Tool: Kubernetes,2,0,0,2
Software/Tool: Microsoft Excel,2,0,0,2
Solid.js,0,2,0,2
CLOUD SQL,0,2,0,2
KiCad,2,0,0,2
Solution manager (plus),2,0,0,2
Google Ads,2,0,0,2
Sonar Qube,1,1,0,2
SonarCloud,0,2,0,2
Agile methodology,2,0,0,2
NetApp storage,2,0,0,2
Agile methodologies,1,1,0,2
JEST,2,0,0,2
NetBox,2,0,0,2
Agile development and tools,0,0,2,2
Netbackup,2,0,0,2
Agile Scrum methodology,2,0,0,2
DMS,2,0,0,2
Go,2,0,0,2
Agentic AI,1,1,0,2
Spring Boot 3,2,0,0,2
Spring Cloud,2,0,0,2
Affinity,2,0,0,2
Microsoft Excel - Pokročilý,2,0,0,2
Spring framework,2,0,0,2
Spring/SpringBoot,2,0,0,2
SpringBoot,1,0,1,2
DIF,0,2,0,2
Step Functions,2,0,0,2
StockM,2,0,0,2
StorCLI,2,0,0,2
Netskope,2,0,0,2
JBoss (Wildfly),2,0,0,2
Strapi (Headless CMS),2,0,0,2
Nette,2,0,0,2
Network,0,2,0,2
Styled-Components,2,0,0,2
Substance Painter/Designer,0,0,2,2
Subversion,1,1,0,2
DELL,2,0,0,2
Network Equipment,2,0,0,2
Adobe Premiere Pro,2,0,0,2
Swagger/OpenAPI (API testovanie),2,0,0,2
Sybase SQL Anywhere,2,0,0,2
DEBIAN,0,2,0,2
Symfony framework,2,0,0,2
JBehave,2,0,0,2
Syniti,0,2,0,2
Syslog,2,0,0,2
System center operations manager (SCCM),2,0,0,2
T-SQL,1,1,0,2
Adobe AEM,2,0,0,2
DAX,1,1,0,2
Network Topology/Layers,2,0,0,2
Gite,2,0,0,2
ActiveMQ Artemis,2,0,0,2
TESTING ACCESS,0,2,0,2
TESTING HARDWARE,0,2,0,2
GitOps tooling (Argo CD,2,0,0,2
TFS/Azure DevOps,2,0,0,2
Active Directory and GPO: Basic,2,0,0,2
CLOUD SAP ERP @SAP,0,2,0,2
DATABASE PROJECT MANAGEMENT CHANGE MANAGEMENT,0,2,0,2
Networking Tools and Utilities: Basic,2,0,0,2
Networking protocols including the ability to analyze network traffic (with Wireshark): Basic,2,0,0,2
Active Directory (Windows): Pokročilý,2,0,0,2
DATABASE POSTGRESQL,0,2,0,2
TYPO3,2,0,0,2
MS ACCESS,0,2,0,2
Tableau/Power BI/Qlik,2,0,0,2
DATABASE ACCESS,0,2,0,2
Access,1,1,0,2
Keystore,2,0,0,2
TanStack Query,0,1,1,2
TanStack Query (React Query),2,0,0,2
TanStack Table,0,1,1,2
Tantstack Start,0,2,0,2
DASH,0,2,0,2
Figma / Adobe XD,2,0,0,2
MicroStation,2,0,0,2
Microsoft Office tools,2,0,0,2
AZURE Cloud/or AWS,2,0,0,2
Fidelio Suite8,0,0,2,2
LambdaTest,2,0,0,2
Temporal,2,0,0,2
AWS or Azure cloud services,0,0,2,2
TensorFlow/Keras/MLFlow,2,0,0,2
CLOUD MACHINE LEARNING,0,2,0,2
AWS native technologies,2,0,0,2
TestFlight,2,0,0,2
NinjaOne,1,0,1,2
MQTT,1,1,0,2
Nintex K2,2,0,0,2
Coupa,0,2,0,2
Thought Machine Vault,2,0,0,2
Tibco,0,1,1,2
Tiger Lab,0,2,0,2
Couchbase,1,1,0,2
Torch,2,0,0,2
Tornado,2,0,0,2
LXD,2,0,0,2
Translation Management System,0,0,2,2
Nix,0,2,0,2
CoreMedia Content Management System,0,0,2,2
Tricentis,0,2,0,2
Tricentis Tosca,2,0,0,2
AWS Cloud infrastructure and Services,0,2,0,2
Nix / NixOS,0,2,0,2
Tyk.IO,0,0,2,2
Cordova,2,0,0,2
Type: Collaboration,0,2,0,2
Type: Project Management,0,2,0,2
Copilot,0,1,1,2
Typescript,2,0,0,2
Ceragon,2,0,0,2
MPI,0,2,0,2
UAT TESTING,0,2,0,2
J2E,2,0,0,2
UI Patch,2,0,0,2
Containerization / Kubernetes,2,0,0,2
UL Stages,0,2,0,2
Container-based deployments,0,2,0,2
MS Team Foundation Server,2,0,0,2
Connect,2,0,0,2
UVM,0,2,0,2
AVEVEA InTouch/Historian,2,0,0,2
AV/Firewall Rules and Policies: Basic,2,0,0,2
Ubuntu Linux,0,2,0,2
Confluent Kafka,0,1,1,2
Microsoft Outlook: Expert,2,0,0,2
MM,1,1,0,2
UiPath Assistant,2,0,0,2
No-SQL database,0,0,2,2
CLOUD JAVASCRIPT,0,2,0,2
CLOUD DATABASES,0,2,0,2
CLOUD DATABASE,0,2,0,2
Unit of work,2,0,0,2
NoSql,2,0,0,2
Unity Catalog,2,0,0,2
Felhőplatformok,0,2,0,2
Unix/Linux,2,0,0,2
SIAE,2,0,0,2
VBA,0,2,0,2
Confluence / Jira,0,2,0,2
Confluence (plus),2,0,0,2
Git/SVN,0,0,2,2
ARIS,1,1,0,2
VMWare,1,0,1,2
Conan,2,0,0,2
VMware / vSphere,2,0,0,2
VMware ESX,2,0,0,2
VMware ESXi,2,0,0,2
VMware vCenter,1,0,1,2
ARCGIS,0,2,0,2
VPC,2,0,0,2
MLflow/Kubeflow,2,0,0,2
VPN technológie (IPsec,2,0,0,2
Git/GitLab,2,0,0,2
VS Code IDE,2,0,0,2
Compose,2,0,0,2
VUE. CLOUD JAVASCRIPT. SAP @SAP.,0,2,0,2
Git-based version control/pipelines,2,0,0,2
